Date,Open,High,Low,Close,Adj Close,Volume,Log Daily Returns,Volume Change,30-Day Volatility
2000-05-05,10409.7001953125,10585.919921875,10375.8095703125,10577.8603515625,10577.8603515625,138300000,0.015757101158454093,-0.18247916297215816,0.016975655921272325
2000-05-08,10571.3095703125,10627.849609375,10522.0703125,10603.6298828125,10603.6298828125,144180000,0.002433213497158039,0.04251626898047722,0.01699132860557298
2000-05-09,10607.5400390625,10684.849609375,10514.25,10536.75,10536.75,166320000,-0.006327237855249827,0.15355805243445686,0.016974192978752363
2000-05-10,10533.08984375,10533.08984375,10292.099609375,10367.7802734375,10367.7802734375,225970000,-0.016166199794971192,0.35864598364598366,0.01714423850366651
2000-05-11,10369.26953125,10575.099609375,10369.26953125,10545.9697265625,10545.9697265625,185720000,0.017040823872871,-0.17812098951188216,0.01740829768635588
2000-05-12,10549.0595703125,10673.7900390625,10543.919921875,10609.3701171875,10609.3701171875,137770000,0.0059938134676443995,-0.2581843635580444,0.01745620561822071
2000-05-15,10606.9697265625,10811.5498046875,10605.259765625,10807.7802734375,10807.7802734375,155810000,0.0185286864951336,0.1309428758075053,0.01779913973575234
2000-05-16,10816.009765625,10971.240234375,10816.009765625,10934.5703125,10934.5703125,181920000,0.011663088202332524,0.16757589371670623,0.017191057226187013
2000-05-17,10930.6396484375,10930.6396484375,10752.6103515625,10769.740234375,10769.740234375,169570000,-0.015188987154261138,-0.06788698328935794,0.017374469248671007
2000-05-18,10771.7998046875,10864.3203125,10764.259765625,10777.2802734375,10777.2802734375,161220000,0.0006998683987454117,-0.049242200861001395,0.017261138875468943
2000-05-19,10764.2197265625,10764.2197265625,10570.650390625,10626.849609375,10626.849609375,188270000,-0.014056459362713316,0.16778315345490635,0.017357123597596336
2000-05-22,10624.7900390625,10664.5400390625,10369.490234375,10542.5498046875,10542.5498046875,185570000,-0.007964349733213123,-0.014341105858607373,0.01739515010342885
2000-05-23,10539.1201171875,10557.4501953125,10416.7802734375,10422.26953125,10422.26953125,157080000,-0.01147461289790896,-0.15352697095435686,0.017406507915659238
2000-05-24,10420.900390625,10554.8798828125,10364.009765625,10535.349609375,10535.349609375,225350000,0.010791414306709754,0.43461930226636114,0.01745104727249898
2000-05-25,10529.8701171875,10558.650390625,10266.0,10323.919921875,10323.919921875,184380000,-0.02027270689365735,-0.18180607943199467,0.017622355707802354
2000-05-26,10322.8896484375,10387.66015625,10258.8095703125,10299.240234375,10299.240234375,129200000,-0.002393396462439857,-0.2992732400477275,0.017368236200755036
2000-05-30,10302.3095703125,10528.150390625,10302.3095703125,10527.1298828125,10527.1298828125,165450000,0.021885594396282355,0.2805727554179567,0.014309574858788913
2000-05-31,10528.2802734375,10599.4296875,10490.7998046875,10522.330078125,10522.330078125,162880000,-0.0004560501580179595,-0.015533393774554205,0.013455097672591778
2000-06-01,10532.26953125,10673.4501953125,10513.080078125,10652.2001953125,10652.2001953125,183990000,0.01226678882731476,0.12960461689587421,0.013258424120703561
2000-06-02,10660.08984375,10846.080078125,10660.08984375,10794.759765625,10794.759765625,200900000,0.013294347565063421,0.0919071688678732,0.013390500766993014
